image_id,dice_otsu,iou_otsu,dice_unet,iou_unet,dice_improvement,iou_improvement,winner
val_000.png,0.9784283513098734,0.9577677224742418,0.994535505771637,0.989130437374115,0.016107154461763584,0.03136271489987319,U-Net
val_001.png,0.9770270270270528,0.9550858652576948,0.9948360919952393,0.9897252917289734,0.01780906496818646,0.0346394264712786,U-Net
val_002.png,0.9816497416711532,0.9639608117565992,0.9973104000091553,0.9946351647377014,0.01566065833800212,0.030674352981102215,U-Net
val_003.png,0.9769885312615784,0.9550122956748808,0.9963061213493347,0.9926394820213318,0.019317590087756353,0.037627186346451014,U-Net
val_004.png,0.9755967156769236,0.9523560990158424,0.9958680868148804,0.9917701482772827,0.02027137113795674,0.03941404926144032,U-Net
val_005.png,0.9759569986199056,0.9530429848206086,0.9951971769332886,0.990440309047699,0.019240178313382983,0.03739732422709041,U-Net
val_006.png,0.9737592698232352,0.9488604780436416,0.9948659539222717,0.9897843599319458,0.021106684099036488,0.0409238818883042,U-Net
val_007.png,0.9789689914897984,0.9588043686530776,0.9969682097434998,0.9939547777175903,0.01799921825370132,0.03515040906451272,U-Net
val_008.png,0.9830154663630488,0.9665982459414691,0.9980988502502441,0.9962049126625061,0.015083383887195323,0.029606666721036956,U-Net
val_009.png,0.9755544762830248,0.9522756005058398,0.9954560399055481,0.9909531474113464,0.019901563622523266,0.03867754690550662,U-Net
val_010.png,0.9753427569348628,0.9518722124261468,0.9961932897567749,0.9924154877662659,0.02085053282191207,0.040543275340119034,U-Net
val_011.png,0.9825055770811524,0.9656127394415748,0.9960326552391052,0.9920967221260071,0.013527078157952843,0.026483982684432306,U-Net
val_012.png,0.9789555728761538,0.9587786259545132,0.9948879480361938,0.9898278713226318,0.01593237516004009,0.031049245368118594,U-Net
val_013.png,0.9765563656758536,0.9541867601929984,0.9971957206726074,0.9944071769714355,0.020639354996753845,0.04022041677843713,U-Net
val_014.png,0.9807941557676672,0.9623121387284108,0.9965652227401733,0.9931539297103882,0.015771066972506187,0.03084179098197737,U-Net
val_015.png,0.978878082326379,0.9586299788340222,0.9954999089241028,0.9910401105880737,0.01662182659772382,0.0324101317540515,U-Net
val_016.png,0.9794350967611644,0.9596989800970792,0.9956080317497253,0.9912545084953308,0.016172934988560983,0.0315555283982516,U-Net
val_017.png,0.981951817068206,0.96454355847912,0.995618999004364,0.9912762641906738,0.013667181936158013,0.02673270571155384,U-Net
val_018.png,0.976973684210621,0.9549839228299438,0.9958813786506653,0.9917965531349182,0.018907694440044254,0.03681263030497439,U-Net
val_019.png,0.9757485029940484,0.952645425314374,0.9979135394096375,0.9958358407020569,0.02216503641558909,0.04319041538768287,U-Net
