Loss,Best_Validation_Dice,Final_Validation_Dice,Final_Validation_IoU
BCE,0.9953645586967468,0.9953645586967468,0.9907757401466369
Dice,0.9953499913215638,0.9950652360916138,0.9901807904243469
BCE+Dice,0.9908532619476318,0.9820754170417786,0.9648252844810485
