label,area,eccentricity,solidity,mean_intensity,major_axis_length,minor_axis_length,equivalent_diameter_area,perimeter
1,133.0,0.6694719905405884,0.9568345323741008,0.275351345539093,15.101958985176312,11.21829843329812,13.013103375051497,41.21320343559643
2,212.0,0.6630750151249405,0.933920704845815,0.22784006595611572,19.218917373093255,14.386377364286666,16.42944866646031,55.941125496954285
3,138.0,0.6140188768968743,0.971830985915493,0.2746921479701996,14.904820350428615,11.764245621328444,13.255453865237978,40.970562748477136
4,277.0,0.7550550668202382,0.9822695035460993,0.27021852135658264,23.19185600881418,15.20600433045522,18.77997214831907,60.2842712474619
5,473.0,0.921322204616286,0.8197573656845754,0.254516065120697,42.903576541218925,16.680908091883115,24.54062559633988,107.74011537017762
6,89.0,0.6913628104518568,0.978021978021978,0.2150060534477234,12.534595983342857,9.056342875658638,10.645107772184812,32.97056274847714
7,146.0,0.733781405862214,0.948051948051948,0.23180167376995087,16.531282774236967,11.231116134563177,13.63425735166143,43.79898987322333
8,83.0,0.6332145173115814,1.0,0.27291738986968994,11.663513507599733,9.027283497554569,10.280023453913834,30.727922061357855
9,150.0,0.9076877343745022,0.8982035928143712,0.21802577376365662,21.896459013709602,9.188766958438496,13.819765978853418,51.112698372208094
10,175.0,0.7098491950248912,0.9668508287292817,0.2910102605819702,17.773174007073536,12.518600691183746,14.927053303604616,47.21320343559643
11,75.0,0.7328314220739808,1.0,0.2756597697734833,11.83339445404487,8.05156286592044,9.772050238058398,29.556349186104047
12,206.0,0.8334461696596381,0.9856459330143541,0.2779718041419983,21.802090996877066,12.047849733153264,16.195287778099022,53.4558441227157
13,152.0,0.4916676161598734,0.9212121212121213,0.22382871806621552,14.926724213381943,12.997937023293941,13.911592676604096,45.45584412271571
14,41.0,0.828517156108491,1.0,0.2005482017993927,9.596747416474487,5.373829991773819,7.225151993843567,21.65685424949238
15,310.0,0.6900813731728089,0.9841269841269841,0.25626352429389954,23.365042644710904,16.91002404860101,19.867165345562018,63.11269837220809
16,61.0,0.7954850635408749,0.9384615384615385,0.19291116297245026,11.361018039927082,6.88447240596483,8.812923024107548,28.384776310850235
17,100.0,0.41931031646877964,0.970873786407767,0.24456393718719482,11.82679696163445,10.736874481350434,11.283791670955125,34.14213562373095
18,230.0,0.7963470479774754,0.9090909090909091,0.2913927137851715,22.44642695267626,13.576496016657059,17.112717355495807,59.698484809834994
19,292.0,0.5814962832950741,0.954248366013072,0.2521420419216156,21.379338868552146,17.3931410331932,19.281751659604673,61.94112549695428
20,270.0,0.6657036712432473,0.9608540925266904,0.20551568269729614,21.48848866976856,16.035058430181174,18.5411616971131,61.35533905932738
21,79.0,0.7338890090476478,0.9753086419753086,0.270257830619812,12.149224962164913,8.252596791854966,10.02925341359355,30.72792206135785
22,138.0,0.5211631213898272,0.971830985915493,0.27529221773147583,14.350442769783498,12.247487096513451,13.255453865237978,41.21320343559643
23,165.0,0.68917210722986,0.9763313609467456,0.22080741822719574,17.02528266548456,12.336480423608558,14.494292838262302,45.45584412271571
24,151.0,0.7958106018793162,0.9263803680981595,0.2862267792224884,17.843971642642373,10.805338695320783,13.86575534383214,46.8700576850888
